12-05 17:12:16: Training starting...
12-05 17:12:18: New best reward 9.0 at episode 0, saving model...
12-05 17:12:18: New best reward 14.0 at episode 1, saving model...
12-05 17:12:18: New best reward 22.0 at episode 2, saving model...
12-05 17:12:18: New best reward 24.0 at episode 5, saving model...
12-05 17:12:18: New best reward 29.0 at episode 7, saving model...
12-05 17:12:18: New best reward 31.0 at episode 14, saving model...
12-05 17:12:18: New best reward 43.0 at episode 15, saving model...
12-05 17:12:18: New best reward 44.0 at episode 20, saving model...
12-05 17:12:19: New best reward 84.0 at episode 70, saving model...
12-05 17:12:19: New best reward 106.0 at episode 300, saving model...
12-05 17:12:19: New best reward 118.0 at episode 366, saving model...
12-05 17:12:19: New best reward 134.0 at episode 452, saving model...
12-05 17:12:19: New best reward 136.0 at episode 512, saving model...
12-05 17:12:19: New best reward 156.0 at episode 521, saving model...
12-05 17:12:20: New best reward 179.0 at episode 784, saving model...
12-05 17:12:20: New best reward 181.0 at episode 816, saving model...
12-05 17:12:20: New best reward 185.0 at episode 830, saving model...
12-05 17:12:20: New best reward 237.0 at episode 848, saving model...
12-05 17:12:20: New best reward 248.0 at episode 943, saving model...
12-05 17:12:21: New best reward 341.0 at episode 1066, saving model...
12-05 17:12:21: New best reward 385.0 at episode 1195, saving model...
12-05 17:12:24: New best reward 395.0 at episode 1671, saving model...
12-05 17:12:29: New best reward 403.0 at episode 2290, saving model...
12-05 17:12:31: New best reward 510.0 at episode 2468, saving model...
12-05 17:12:34: New best reward 517.0 at episode 2813, saving model...
12-05 17:12:40: New best reward 558.0 at episode 3364, saving model...
12-05 17:12:43: New best reward 739.0 at episode 3602, saving model...
12-05 17:12:52: New best reward 776.0 at episode 4125, saving model...
12-05 17:12:53: New best reward 913.0 at episode 4131, saving model...
12-05 17:12:55: New best reward 1007.0 at episode 4251, saving model...
12-05 17:12:59: New best reward 8738.0 at episode 4441, saving model...
12-05 17:13:00: New best reward 8819.0 at episode 4446, saving model...
12-05 17:13:08: New best reward 100000.0 at episode 4575, saving model...
