12-05 17:20:08: Training starting...
12-05 17:20:09: New best reward -8.1 at episode 0, saving model...
12-05 17:20:09: New best reward -6.3 at episode 2, saving model...
12-05 17:20:09: New best reward -4.5 at episode 11, saving model...
12-05 17:20:09: New best reward -2.7 at episode 26, saving model...
12-05 17:20:09: New best reward 2.1 at episode 139, saving model...
12-05 17:20:11: New best reward 3.9 at episode 642, saving model...
12-05 17:20:13: New best reward 6.1 at episode 1204, saving model...
12-05 17:20:15: New best reward 6.8 at episode 1687, saving model...
12-05 17:20:16: New best reward 8.4 at episode 2051, saving model...
12-05 17:20:19: New best reward 8.5 at episode 2334, saving model...
12-05 17:20:28: New best reward 8.8 at episode 4028, saving model...
12-05 17:20:33: New best reward 9.1 at episode 4980, saving model...
12-05 17:20:33: New best reward 12.9 at episode 4981, saving model...
12-05 17:21:09: New best reward 13.1 at episode 10861, saving model...
12-05 17:21:10: New best reward 13.7 at episode 11047, saving model...
12-05 17:21:10: New best reward 18.1 at episode 11181, saving model...
12-05 17:21:13: New best reward 18.4 at episode 11728, saving model...
12-05 17:21:17: New best reward 22.4 at episode 12477, saving model...
12-05 17:21:26: New best reward 22.5 at episode 13877, saving model...
12-05 17:21:34: New best reward 31.9 at episode 15244, saving model...
12-05 17:22:01: New best reward 38.9 at episode 19559, saving model...
12-05 17:22:10: New best reward 46.7 at episode 20804, saving model...
12-05 17:23:49: New best reward 50.4 at episode 32988, saving model...
12-05 17:24:47: New best reward 64.4 at episode 38318, saving model...
12-05 17:27:22: New best reward 65.0 at episode 53467, saving model...
12-05 17:27:51: New best reward 73.9 at episode 56357, saving model...
12-05 17:29:14: New best reward 90.8 at episode 62433, saving model...
12-05 17:34:08: New best reward 92.4 at episode 82537, saving model...
